"region","country","iso_code","year","cases_total","cases_imported","deaths_total","cfr"
"AFR0","Cameroon","CMR",1990,16,NA,0,0
"AFR0","Cameroon","CMR",1991,4026,NA,491,0.121957277694983
"AFR0","Cameroon","CMR",1992,1268,NA,66,0.0520504731861199
"AFR0","Cameroon","CMR",1993,648,NA,19,0.029320987654321
"AFR0","Cameroon","CMR",1994,527,NA,61,0.115749525616698
"AFR0","Cameroon","CMR",1995,615,NA,21,0.0341463414634146
"AFR0","Cameroon","CMR",1996,5796,NA,485,0.0836783988957902
"AFR0","Cameroon","CMR",1997,1709,NA,180,0.105324751316559
"AFR0","Cameroon","CMR",1998,4603,NA,316,0.0686508798609602
"AFR0","Cameroon","CMR",1999,1584,NA,35,0.0220959595959596
"AFR0","Cameroon","CMR",2000,123,NA,29,0.235772357723577
"AFR0","Cameroon","CMR",2001,259,NA,7,0.027027027027027
"AFR0","Cameroon","CMR",2002,66,NA,8,0.121212121212121
"AFR0","Cameroon","CMR",2003,207,NA,36,0.173913043478261
"AFR0","Cameroon","CMR",2004,8005,NA,137,0.0171143035602748
"AFR0","Cameroon","CMR",2005,2847,NA,110,0.0386371619248332
"AFR0","Cameroon","CMR",2006,922,NA,35,0.0379609544468547
"AFR0","Cameroon","CMR",2007,10,NA,1,0.1
"AFR0","Cameroon","CMR",2008,0,NA,0,NA
"AFR0","Cameroon","CMR",2009,804,NA,89,0.110696517412935
"AFR0","Cameroon","CMR",2010,10759,NA,657,0.0610651547541593
"AFR0","Cameroon","CMR",2011,22433,NA,783,0.0349039361654705
"AFR0","Cameroon","CMR",2012,363,NA,5,0.0137741046831956
"AFR0","Cameroon","CMR",2013,29,NA,0,0
"AFR0","Cameroon","CMR",2014,3355,NA,184,0.0548435171385991
"AFR0","Cameroon","CMR",2015,124,NA,6,0.0483870967741935
"AFR0","Cameroon","CMR",2018,1052,NA,58,0.0551330798479087
"AFR0","Cameroon","CMR",2019,1840,NA,93,0.0505434782608696
"AFR0","Cameroon","CMR",2020,1890,NA,73,0.0386243386243386
"AFR0","Cameroon","CMR",2021,728,NA,23,0.0315934065934066
"AFR0","Cape Verde","CPV",1974,303,NA,8,0.0264026402640264
"AFR0","Cape Verde","CPV",1975,20,NA,3,0.15
"AFR0","Cape Verde","CPV",1976,219,NA,17,0.0776255707762557
"AFR0","Cape Verde","CPV",1994,128,NA,12,0.09375
"AFR0","Cape Verde","CPV",1995,12913,NA,240,0.0185859211647177
"AFR0","Cape Verde","CPV",1996,428,NA,3,0.00700934579439252
"AFR0","Cape Verde","CPV",1998,133,NA,1,0.0075187969924812
"AFR0","Cape Verde","CPV",2005,0,NA,0,NA
"AFR0","Cape Verde","CPV",2006,0,NA,0,NA
"AFR0","Central African Republic","CAF",1997,443,NA,75,0.169300225733634
"AFR0","Central African Republic","CAF",1998,22,NA,3,0.136363636363636
"AFR0","Central African Republic","CAF",2004,320,NA,48,0.15
